Blog	how	to	for	the	of	is	online	that	and	also	has	in	he	s	a	post	first	on	my	at	me	i	d	like	with	you	this	but	m	not	it	by	two	only	use	these	are	so	if	day	into	all	because	have	here	most	or	do	people	they	too	their	as	from	there	more	than	re	an	your	many	about	want	them	when	t	up	will	be	who	time	were	was	money	new	said	we	what	best	make	some	one	out	those	much	no	can	ve	been	had	even	just	now	live	while	us	would	his	read	which	don	its	today	get	where	our	know	down	back	years	over	world	big	since	last	week	should	she	her	life	year	after	still
Guy Kawasaki	10	26	8	38	14	7	2	6	19	2	1	9	1	11	29	12	10	12	3	3	1	8	1	3	3	6	4	1	4	2	8	2	3	2	1	1	8	3	3	3	1	2	3	2	1	2	3	6	2	4	2	3	1	3	6	1	2	1	2	3	1	2	1	1	2	3	1	1	1	2	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Blogoscoped	5	36	16	71	34	10	1	13	40	2	1	23	2	15	43	2	2	17	7	7	4	18	2	6	6	36	7	10	2	5	14	4	3	2	3	1	6	7	8	3	3	5	5	5	2	3	7	3	3	7	2	4	12	7	5	4	1	5	5	8	0	9	2	4	4	11	3	1	4	5	4	1	6	0	8	2	12	6	4	3	3	13	2	3	4	6	10	4	4	3	4	6	4	1	1	1	11	1	2	5	4	1	1	5	1	3	2	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0
NewsBusters	6	80	39	193	82	31	0	27	50	0	10	62	14	78	65	0	7	61	0	14	1	2	2	2	21	8	16	9	2	12	31	11	5	5	4	3	8	4	6	4	4	4	8	8	0	6	5	3	4	5	3	6	13	7	0	6	6	2	10	0	3	16	2	1	10	11	10	4	8	10	8	6	9	2	17	2	7	2	0	1	4	9	8	0	2	6	2	0	5	7	6	4	1	4	5	1	3	14	1	6	2	3	2	2	2	0	1	4	5	2	12	2	3	4	4	7	3	9	14	3	3	6	1
Seth Godin's Blog on marketing, tribes and respect	3	22	3	16	5	9	0	6	8	0	2	7	0	7	15	0	0	2	0	0	0	2	1	1	4	13	0	3	0	0	12	0	0	0	1	0	1	0	3	0	0	2	4	1	0	0	4	4	2	3	2	0	4	0	1	2	1	1	1	3	0	9	2	3	2	7	4	1	4	4	3	0	1	0	0	0	4	11	2	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	0	1	0	0	0	1	3	0	0	4	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Slashdot	4	90	24	155	83	25	3	41	69	7	18	53	6	40	74	2	5	25	0	30	0	1	2	1	22	8	26	14	2	6	25	14	2	2	4	6	14	3	2	2	11	4	3	13	0	2	12	3	6	11	3	13	26	27	2	23	8	3	12	5	3	4	1	8	5	7	6	20	12	8	2	9	15	4	10	11	3	6	0	0	3	3	5	6	2	2	3	0	9	11	6	1	2	1	2	1	5	1	15	4	3	11	5	3	2	3	2	1	2	5	7	3	3	0	9	0	4	8	5	2	6	5	5
ThinkProgress	1	20	8	35	19	5	0	12	8	0	4	12	3	11	14	0	1	10	0	1	0	0	2	1	10	0	0	0	0	2	2	0	1	0	1	0	0	0	0	2	2	1	0	2	0	1	0	1	2	1	0	4	4	4	1	3	1	0	6	0	1	1	0	2	0	3	0	2	0	1	0	1	1	0	4	3	1	1	0	2	0	3	0	0	0	2	0	0	1	1	2	0	1	0	2	0	3	8	0	1	0	2	0	0	1	0	0	0	1	0	5	2	0	0	2	1	0	1	0	0	0	2	0
Autoblog	1	78	69	189	104	49	0	32	48	2	14	63	1	65	84	0	9	108	0	20	1	2	2	10	23	6	46	10	8	7	25	5	6	0	39	5	4	3	1	1	6	17	1	13	3	2	1	0	0	4	4	5	11	7	5	13	11	2	12	4	1	8	0	5	5	9	8	22	16	0	8	0	9	1	19	3	18	7	9	0	3	19	3	2	3	3	4	3	7	1	2	6	9	3	3	4	4	4	1	2	5	16	3	7	0	40	2	3	1	6	3	10	2	4	8	2	2	0	0	0	9	8	3
blog maverick	1	17	6	37	15	12	0	10	11	0	1	11	1	2	21	0	0	12	4	1	2	11	0	2	2	5	5	2	1	5	8	4	0	0	1	0	6	0	2	2	2	2	0	6	0	1	4	3	1	0	0	1	1	3	4	2	4	0	1	1	0	2	0	1	3	4	1	1	2	1	2	2	3	3	1	1	8	2	0	0	3	3	2	0	0	3	1	0	2	1	2	0	1	2	1	3	1	0	0	1	2	0	0	1	0	3	1	0	2	0	0	0	0	0	0	2	1	0	0	0	2	0	0
Captain's Quarters	1	22	8	50	20	0	0	9	12	2	7	14	6	4	20	1	2	14	2	5	2	3	0	0	4	2	1	1	0	3	2	4	0	1	1	0	0	0	1	2	2	0	0	2	0	0	0	0	0	2	1	6	4	3	0	3	2	0	1	0	0	3	0	0	2	1	1	5	4	1	1	0	1	1	0	0	1	0	1	0	1	2	4	0	0	1	1	0	2	3	1	0	0	0	1	3	1	6	0	0	0	3	2	0	0	0	0	2	2	2	1	1	1	1	0	1	2	1	1	0	0	3	1
Copyblogger	9	30	9	25	11	8	1	17	23	0	4	5	1	13	22	14	10	10	4	4	5	13	0	1	4	11	5	8	0	5	13	1	0	2	0	0	0	1	2	0	4	3	0	1	1	0	1	2	1	1	2	2	1	0	3	14	1	3	3	15	0	8	2	0	4	4	0	0	4	0	6	1	3	0	1	0	3	3	1	5	1	4	1	0	0	0	3	1	3	6	2	2	3	0	0	0	1	0	10	0	1	0	0	3	0	3	3	0	3	2	1	1	0	0	0	2	1	0	0	0	0	1	2
